from,to,relationship
uvdl,cdu,1
lk,spd,1
nr,cdu,1
sw,dl,1
cs,NA,2
cl,fdp,1
nr,cdu,1
ks,NA,2
lm,NA,2
kd,NA,2
el,NA,2
ab,dg,1
ft,NA,2
am,NA,2
agl,fdp,1
er,NA,2
rh,dg,1
lk,sdp,1
cm,NA,2
kp,NA,2
rk,cdu,1
cl,spd,1
agl,fdp,1
sb,NA,2
ch,NA,2
mw,NA,2
os,spd,1
